,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
BRIDGE,,,56694,811231,17,2,4,116,2,440,,,,,,
BRIDGE,20-Nov,,56695,811233,18,2,6,116,2,450,,,,,,
BRIDGE,2-Jan,,56696,811234,18,2,6,116,2,450,,,,,,
BRIDGE,,,56697,811235,18,2,6,116,2,450,,,,,,
BRIDGE,,,56699,811236,18,2,6,116,2,450,,,,,,
BRIDGE,,,56701,811237,10,2,4,105,2,,,,,,,
,,,,,10,2,6,105,2,,,,,,,
BRIDGE,gtglen11-22,,56702,811238,10,2,4,105,2,475,,,,,,
,,,,,10,2,6,105,2,465,,,,,,
BRIDGE,gtg 1-2,,56703,811239,20,2,4,105,2,475,,,,,,
BRIDGE,gtg 1-2,complete,56704,811240,20,2,4,105,2,475,,,,,,
BRIDGE,gtg 1-2,complete,56705,811241,20,2,4,105,2,475,,,,,,
BRIDGE,complete,,56706,811242,20,2,4,105,2,475,,,,,,
BRIDGE,complete,,56707,811243,20,2,4,105,2,475,,,,,,
BRIDGE,27-Nov,,56708,811246,14,2,4,12,2,415,,,,,,
BRIDGE,18-Dec,,56709,811247,14,2,4,12,2,415,,,,,,
BRIDGE,,,56710,811248,14,2,4,12,2,415,40,,,,,
BRIDGE,,,56711,811249,14,2,4,12,2,415,50,465,,,,
BRIDGE,1-May,,56712,811250,14,2,4,12,2,415,,,,,,
BRIDGE,1-May,,56713,811251,14,2,4,12,2,415,,,,,,
BRIDGE,,,56714,811252,14,2,4,12,2,415,,,,,,
BRIDGE,,,56715,811253,14,2,4,12,2,415,,,,,,
,,,,,,,,,,,,,,,,
BRIDGE,,,56716,811264,21,2,6,105,2,465,,,,,,
BRIDGE,1-Dec,,56717,811266,21,2,6,105,2,465,,,,,,
BRIDGE,2-Jan,complete ,56718,811267,10,2,6,105,2,465,,,,,,
,,,,,10,2,4,105,2,475,,,,,,
BRIDGE,complete ,complete ,56719,811269,21,2,6,105,2,465,,,,,,
BRIDGE,,,56720,811270,21,2,6,105,2,465,,,,,,
SMT,,,56836,14588,21,2,4,9,2,245,,,,,,
MILLING,,,56777,122392,5,2,4,8,4,,,,,,,
,,,,,1,2,4,10,4,,,,,,,
